Año,Clave_Ent,Entidad,CVEMUN,Municipio,Bien _jurídico_afectado,Tipo_de_delito,Subtipo_de_delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de autopartes,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a negocio,Con violencia,1,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,2,0,0,1,0,0,1,0,0,0
